length_ft,width_ft,length_norm,surface_code,lighted,area,size_category
30.0,30.0,0.001,123,0,900.0,small
2433.0,55.0,0.0811,511,0,133815.0,medium
2700.0,100.0,0.09,501,0,270000.0,large
2700.0,75.0,0.09,179,0,202500.0,large
3400.0,80.0,0.11333333333333333,179,0,272000.0,large
3200.0,40.0,0.10666666666666667,179,0,128000.0,medium
1500.0,60.0,0.05,501,0,90000.0,medium
36.0,36.0,0.0012,123,0,1296.0,small
2300.0,120.0,0.07666666666666666,501,0,276000.0,large
40.0,40.0,0.0013333333333333333,25,1,1600.0,small
28.0,28.0,0.0009333333333333333,127,0,784.0,small
4360.0,75.0,0.14533333333333334,184,0,327000.0,large
2600.0,65.0,0.08666666666666667,184,0,169000.0,medium
50.0,50.0,0.0016666666666666668,123,1,2500.0,small
50.0,50.0,0.0016666666666666668,123,0,2500.0,small
2200.0,45.0,0.07333333333333333,337,0,99000.0,medium
2000.0,150.0,0.06666666666666667,501,0,300000.0,large
1800.0,100.0,0.06,501,0,180000.0,medium
55.0,55.0,0.0018333333333333333,425,0,3025.0,small
2500.0,100.0,0.08333333333333333,134,0,250000.0,large
3000.0,60.0,0.1,168,0,180000.0,medium
2670.0,50.0,0.089,301,0,133500.0,medium
50.0,50.0,0.0016666666666666668,25,0,2500.0,small
3585.0,150.0,0.1195,501,0,537750.0,large
3443.0,150.0,0.11476666666666667,501,0,516450.0,large
1200.0,100.0,0.04,501,0,120000.0,medium
1500.0,100.0,0.05,501,0,150000.0,medium
3400.0,100.0,0.11333333333333333,501,0,340000.0,large
100.0,100.0,0.0033333333333333335,123,0,10000.0,small
50.0,50.0,0.0016666666666666668,123,0,2500.0,small
2000.0,100.0,0.06666666666666667,501,0,200000.0,large
1100.0,100.0,0.03666666666666667,501,0,110000.0,medium
1020.0,150.0,0.034,501,0,153000.0,medium
40.0,40.0,0.0013333333333333333,383,0,1600.0,small
1650.0,100.0,0.055,501,0,165000.0,medium
1950.0,150.0,0.065,501,0,292500.0,large
100.0,100.0,0.0033333333333333335,123,0,10000.0,small
20.0,20.0,0.0006666666666666666,123,0,400.0,small
24.0,24.0,0.0008,123,0,576.0,small
50.0,50.0,0.0016666666666666668,25,0,2500.0,small
2000.0,75.0,0.06666666666666667,501,0,150000.0,medium
2400.0,60.0,0.08,501,0,144000.0,medium
2000.0,100.0,0.06666666666666667,501,0,200000.0,large
2100.0,25.0,0.07,512,0,52500.0,medium
2150.0,60.0,0.07166666666666667,511,0,129000.0,medium
3000.0,300.0,0.1,551,0,900000.0,large
20.0,20.0,0.0006666666666666666,501,0,400.0,small
4247.0,30.0,0.14156666666666667,168,0,127410.0,medium
50.0,50.0,0.0016666666666666668,501,0,2500.0,small
2200.0,50.0,0.07333333333333333,501,0,110000.0,medium
25.0,25.0,0.0008333333333333334,501,0,625.0,small
2750.0,50.0,0.09166666666666666,501,0,137500.0,medium
1500.0,75.0,0.05,501,0,112500.0,medium
2000.0,30.0,0.06666666666666667,501,0,60000.0,medium
100.0,100.0,0.0033333333333333335,512,1,10000.0,small
60.0,50.0,0.002,513,0,3000.0,small
40.0,40.0,0.0013333333333333333,25,0,1600.0,small
2000.0,50.0,0.06666666666666667,501,0,100000.0,medium
100.0,100.0,0.0033333333333333335,501,0,10000.0,small
3600.0,150.0,0.12,512,0,540000.0,large
4050.0,60.0,0.135,173,0,243000.0,large
32.0,32.0,0.0010666666666666667,123,0,1024.0,small
40.0,40.0,0.0013333333333333333,123,1,1600.0,small
1600.0,120.0,0.05333333333333334,501,0,192000.0,medium
4000.0,50.0,0.13333333333333333,168,0,200000.0,large
4000.0,50.0,0.13333333333333333,179,0,200000.0,large
3000.0,80.0,0.1,501,0,240000.0,large
2650.0,50.0,0.08833333333333333,501,0,132500.0,medium
2200.0,60.0,0.07333333333333333,501,0,132000.0,medium
